Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.7728981971740723	0	14.183099	5.48573	35.0	8.0	14.183098591549296	5.485730167366323	1007	1007
1.0446290969848633	1	25.09756	14.433708	75.0	9.0	25.097560975609756	14.43370864575949	1029	2036
1.2617530822753906	2	37.896553	23.365677	123.0	13.0	37.89655172413793	23.36567601623374	1099	3135
1.4919941425323486	3	63.055557	38.08831	167.0	20.0	63.05555555555556	38.08830707451395	1135	4270
1.696075201034546	4	63.1875	38.52632	176.0	13.0	63.1875	38.52632014285818	1011	5281
1.9105541706085205	5	70.2	31.068098	150.0	37.0	70.2	31.068097248892904	1053	6334
2.1183581352233887	6	85.0	49.554684	195.0	42.0	85.0	49.554683599702926	1020	7354
2.3316891193389893	7	59.666668	37.89166	159.0	22.0	59.666666666666664	37.89165841946982	1074	8428
2.5423600673675537	8	74.64286	32.310123	126.0	22.0	74.64285714285714	32.31012035803984	1045	9473
2.7439281940460205	9	64.3125	24.91164	147.0	26.0	64.3125	24.911640727780256	1029	10502
2.947843074798584	10	66.933334	31.44618	147.0	28.0	66.93333333333334	31.446179771511552	1004	11506
3.1524159908294678	11	72.57143	34.335976	162.0	36.0	72.57142857142857	34.335975065133496	1016	12522
3.3538730144500732	12	66.73333	25.934448	131.0	36.0	66.73333333333333	25.934447276846978	1001	13523
3.5688600540161133	13	83.38461	30.547663	158.0	51.0	83.38461538461539	30.547663794693197	1084	14607
3.7677690982818604	14	72.71429	17.725803	107.0	48.0	72.71428571428571	17.72580270770983	1018	15625
3.9734280109405518	15	86.666664	21.989897	116.0	43.0	86.66666666666667	21.98989666996086	1040	16665
4.17607307434082	16	102.4	27.07471	131.0	53.0	102.4	27.0747114481392	1024	17689
4.388259172439575	17	89.833336	28.913185	130.0	47.0	89.83333333333333	28.91318422834507	1078	18767
4.599860191345215	18	97.181816	23.158812	142.0	57.0	97.18181818181819	23.15881211358641	1069	19836
4.803106069564819	19	102.5	29.128166	153.0	61.0	102.5	29.128165064075013	1025	20861
5.025641202926636	20	112.6	34.681984	200.0	71.0	112.6	34.68198379562507	1126	21987
5.2579100131988525	21	128.22223	38.328342	178.0	73.0	128.22222222222223	38.328341059783185	1154	23141
5.469034194946289	22	115.666664	26.890724	157.0	78.0	115.66666666666667	26.890725373464935	1041	24182
5.687506198883057	23	135.0	36.74915	196.0	97.0	135.0	36.74914965002592	1080	25262
5.9079461097717285	24	121.111115	28.485647	193.0	83.0	121.11111111111111	28.48564724146938	1090	26352
6.114729166030884	25	128.125	34.55589	200.0	96.0	128.125	34.5558877038342	1025	27377
6.3578410148620605	26	128.55556	46.089554	200.0	76.0	128.55555555555554	46.08955319354102	1157	28534
6.573215007781982	27	106.8	21.442013	154.0	76.0	106.8	21.442014830700963	1068	29602
6.777170181274414	28	112.888885	38.985596	200.0	66.0	112.88888888888889	38.98559404715896	1016	30618
7.003895998001099	29	113.0	24.855583	163.0	87.0	113.0	24.855582873873626	1130	31748
7.212606191635132	30	105.7	29.671703	180.0	70.0	105.7	29.671703692238506	1057	32805
7.427349090576172	31	137.625	39.890278	200.0	88.0	137.625	39.89027920433749	1101	33906
7.632328033447266	32	129.0	24.03643	157.0	85.0	129.0	24.03643068344383	1032	34938
7.8405070304870605	33	119.333336	26.541372	167.0	82.0	119.33333333333333	26.541372316525845	1074	36012
8.067373991012573	34	113.7	35.296036	189.0	61.0	113.7	35.29603377151603	1137	37149
8.263576984405518	35	125.875	36.353947	200.0	87.0	125.875	36.353945796845764	1007	38156
8.46404218673706	36	130.0	41.52108	200.0	80.0	130.0	41.52107898405339	1040	39196
8.669440031051636	37	152.85715	39.95865	200.0	100.0	152.85714285714286	39.958652098776064	1070	40266
8.877618074417114	38	135.5	26.981476	172.0	94.0	135.5	26.981475126464083	1084	41350
9.083086013793945	39	134.0	36.51712	200.0	93.0	134.0	36.51711927302043	1072	42422
9.303327083587646	40	160.42857	22.796347	200.0	132.0	160.42857142857142	22.79634772036422	1123	43545
9.501334190368652	41	167.66667	15.680844	183.0	139.0	167.66666666666666	15.680844648452101	1006	44551
9.729124069213867	42	193.16667	10.17213	200.0	174.0	193.16666666666666	10.172129679778086	1159	45710
9.964759111404419	43	199.66667	0.745356	200.0	198.0	199.66666666666666	0.7453559924999298	1198	46908
10.200802087783813	44	200.0	0.0	200.0	200.0	200.0	0.0	1200	48108
10.43722915649414	45	200.0	0.0	200.0	200.0	200.0	0.0	1200	49308
10.665820121765137	46	200.0	0.0	200.0	200.0	200.0	0.0	1200	50508
10.898416996002197	47	200.0	0.0	200.0	200.0	200.0	0.0	1200	51708
11.135610103607178	48	200.0	0.0	200.0	200.0	200.0	0.0	1200	52908
11.376353979110718	49	200.0	0.0	200.0	200.0	200.0	0.0	1200	54108
11.624481201171875	50	200.0	0.0	200.0	200.0	200.0	0.0	1200	55308
11.872599124908447	51	200.0	0.0	200.0	200.0	200.0	0.0	1200	56508
12.122441053390503	52	200.0	0.0	200.0	200.0	200.0	0.0	1200	57708
12.374800205230713	53	200.0	0.0	200.0	200.0	200.0	0.0	1200	58908
12.63253402709961	54	200.0	0.0	200.0	200.0	200.0	0.0	1200	60108
12.885863065719604	55	200.0	0.0	200.0	200.0	200.0	0.0	1200	61308
13.14441704750061	56	200.0	0.0	200.0	200.0	200.0	0.0	1200	62508
13.397545099258423	57	189.16667	24.224072	200.0	135.0	189.16666666666666	24.224069756247722	1135	63643
